sample_name,sand_name,sand_pct
1,low_Cu_Quickcrete,0.15
2,low_Cu_Quickcrete,0.2
3,low_Cu_Quickcrete,0.45
4,low_Cu_Quickcrete,0.066
5,low_Cu_Quickcrete,0.55
6,low_Cu_Quickcrete,0.6
7,low_Cu_Quickcrete,0.1
8,low_Cu_Quickcrete,0.725
9,low_Cu_Quickcrete,0.625
10,low_Cu_Quickcrete,0.7
11,low_Cu_Quickcrete,0.25
12,low_Cu_Quickcrete,0.675
13,low_Cu_Quickcrete,0.775
14,low_Cu_Quickcrete,0.3
15,low_Cu_Quickcrete,0.65
16,low_Cu_Quickcrete,0.575
17,low_Cu_Quickcrete,0.4
18,low_Cu_Quickcrete,0.35
19,low_Cu_Quickcrete,0.5
20,low_Cu_Quickcrete,0.8
21,low_Cu_Quickcrete,0.75
22,high_Cu_Quickcrete,0.3
23,high_Cu_Quickcrete,0.55
24,high_Cu_Quickcrete,0.6
25,high_Cu_Quickcrete,0.775
26,high_Cu_Quickcrete,0.75
27,high_Cu_Quickcrete,0.15
28,high_Cu_Quickcrete,0.725
29,high_Cu_Quickcrete,0.25
30,high_Cu_Quickcrete,0.5
31,high_Cu_Quickcrete,0.7
32,high_Cu_Quickcrete,0.65
33,high_Cu_Quickcrete,0.45
34,high_Cu_Quickcrete,0.35
35,high_Cu_Quickcrete,0.575
36,high_Cu_Quickcrete,0.1
37,high_Cu_Quickcrete,0.4
38,high_Cu_Quickcrete,0.8
39,high_Cu_Quickcrete,0.625
40,high_Cu_Quickcrete,0.2
41,high_Cu_Quickcrete,0.675
42,high_Cu_Quickcrete,0.066
