test_type,date,experiment_name,sample_name,batch_sample_number,tin_number,blow_count,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
LL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,1,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,1,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,1,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,1,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_coarse_60,1,1,,,7.036,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_coarse_60,1,2,,,7.590,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_coarse_60,1,3,,,6.112,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_coarse_60,1,4,,,6.153,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,2,5,,,8.437,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,2,6,,,6.958,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,2,7,,,7.354,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_coarse_60,2,8,,,7.162,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,3,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,3,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,3,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,promound_coarse_60,3,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_fine_60,4,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_fine_60,4,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_fine_60,4,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,no-6-tile_fine_60,4,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,5,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,5,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,5,,,,,2021-03-04,
LL,2022-02-21,sand-sizes-by-clay-type,duraedge-fs-90_fine_60,5,,,,,2021-03-04,
