expt_sand_number,sand_name,sand_size,rep,cylinder_ID,sand_configuration,preparation_method,compaction_lifts,compaction_moisture,filled_wt,ht_reading_raw,ht_reading_corrected_mm,tin_tare_set,tin_number,tin_w_wet_sample,tin_w_OD_sample,experiment_number
1,Mancino_angular,2.0-1.0 mm,1,1,dense,dry_1_lift,1,air_dry,324.9,4.2,66.7385,2020-05-24,-,-,-,1
1,Mancino_angular,2.0-1.0 mm,2,1,dense,dry_1_lift,1,air_dry,317.85,4.1,64.1985,2020-05-24,-,-,-,1
1,Mancino_angular,2.0-1.0 mm,3,1,dense,dry_1_lift,1,air_dry,320.41,4.14,65.21449999999999,2020-05-24,-,-,-,1
2,Mancino_angular,1.0-0.5 mm,1,1,dense,dry_1_lift,1,air_dry,328.39,4.19,66.48450000000001,2020-05-24,-,-,-,1
2,Mancino_angular,1.0-0.5 mm,2,1,dense,dry_1_lift,1,air_dry,330.32,4.19,66.48450000000001,2020-05-24,-,-,-,1
2,Mancino_angular,1.0-0.5 mm,3,1,dense,dry_1_lift,1,air_dry,343.8,4.35,70.54849999999999,2020-05-24,-,-,-,1
3,Mancino_angular,0.5-0.25 mm,1,1,dense,dry_1_lift,1,air_dry,308.86,3.97,60.8965,2020-05-24,-,-,-,1
3,Mancino_angular,0.5-0.25 mm,2,1,dense,dry_1_lift,1,air_dry,340.82,4.34,70.2945,2020-05-24,-,-,-,1
3,Mancino_angular,0.5-0.25 mm,3,1,dense,dry_1_lift,1,air_dry,316.05,4.06,63.18249999999999,2020-05-24,-,-,-,1
4,Mancino_angular,0.25-0.15 mm,1,1,dense,dry_1_lift,1,air_dry,301.93,3.98,61.15049999999999,2020-05-24,-,-,-,1
4,Mancino_angular,0.25-0.15 mm,2,1,dense,dry_1_lift,1,air_dry,301.98,3.98,61.15049999999999,2020-05-24,-,-,-,1
4,Mancino_angular,0.25-0.15 mm,3,1,dense,dry_1_lift,1,air_dry,300.22,3.94,60.13449999999999,2020-05-24,-,-,-,1
5,Mancino_angular,0.15-0.05 mm,1,1,dense,dry_1_lift,1,air_dry,288.05,3.78,56.07049999999999,2020-05-24,-,-,-,1
5,Mancino_angular,0.15-0.05 mm,2,1,dense,dry_1_lift,1,air_dry,283.29,3.78,56.07049999999999,2020-05-24,-,-,-,1
5,Mancino_angular,0.15-0.05 mm,3,1,dense,dry_1_lift,1,air_dry,286.69,3.8,56.5785,2020-05-24,-,-,-,1
