expt_mix_num,test_type,blow_count,tin_w_wet_sample,tin_w_OD_sample,tin_tare,comments
1,LL,29,13.271,12.354,7.162,
1,LL,22,14.588,13.454,7.231,
1,LL,19,15.978,14.621,7.192,
1,LL,,,,,
1,LL,,,,,
2,LL,22,14.795,13.569,7.115,
2,LL,34,15.507,14.254,7.266,
2,LL,21,14.37,13.241,7.25,
2,LL,16,16.712,15.204,7.281,
2,LL,,,,,
3,LL,31,14.28,13.131,7.066,
3,LL,17,15.608,14.205,7.184,
3,LL,26,14.802,13.576,7.221,
3,LL,24,15.071,13.785,7.181,
3,LL,17,17.203,15.502,7.091,
4,LL,24,14.642,13.373,7.148,
4,LL,28,14.291,13.102,7.248,
4,LL,20,15.707,14.233,7.264,
4,LL,16,15.718,14.213,7.223,
4,LL,,,,,
5,LL,30,14.894,13.515,7.162,
5,LL,23,14.601,13.261,7.231,
5,LL,18,13.479,12.31,7.192,
5,LL,,,,,
5,LL,,,,,
6,LL,33,13.413,12.147,7.115,
6,LL,27,15.107,13.528,7.266,
6,LL,18,14.81,13.241,7.25,
6,LL,,,,,
6,LL,,,,,
7,LL,29,14.7,13.222,7.281,
7,LL,25,16.523,14.573,7.066,
7,LL,18,16.163,14.297,7.184,
7,LL,,,,,
7,LL,,,,,
8,LL,30,12.833,11.686,7.221,
8,LL,21,15.697,13.922,7.181,
8,LL,19,16.353,14.407,7.091,
8,LL,,,,,
8,LL,,,,,
9,LL,29,14.38,12.861,7.148,
9,LL,23,15.796,13.974,7.248,
9,LL,20,14.224,12.724,7.264,
9,LL,,,,,
9,LL,,,,,
10,LL,31,13.702,12.331,7.223,
10,LL,22,15.164,13.422,7.198,
10,LL,17,15.637,13.763,7.162,
10,LL,,,,,
10,LL,,,,,
11,LL,27,14.524,12.687,7.162,
11,LL,26,13.01,11.588,7.231,
11,LL,20,16.533,14.187,7.192,
11,LL,18,14.099,12.301,7.115,
11,LL,,,,,
12,LL,32,12.594,11.285,7.266,
12,LL,27,14.365,12.591,7.25,
12,LL,24,15.828,13.659,7.281,
12,LL,18,15.68,13.477,7.066,
12,LL,,,,,
13,LL,28,14.372,12.596,7.184,
13,LL,23,15.525,13.406,7.221,
13,LL,20,14.682,12.762,7.181,
13,LL,16,15.231,13.119,7.091,
13,LL,,,,,
14,LL,33,14.273,12.479,7.148,
14,LL,29,13.925,12.234,7.248,
14,LL,24,14.154,12.378,7.264,
14,LL,21,14.946,12.929,7.223,
14,LL,,,,,
15,LL,34,14.523,12.666,7.198,
15,LL,28,13.924,12.188,7.162,
15,LL,21,15.664,13.461,7.213,
15,LL,17,15.297,13.173,7.234,
15,LL,,,,,
