date,experiment_name,protocol_ID,sample_name,replication,batch_sample_number,microns,cumulative_mass_g,comments
2021-03-06,oversizeAlims,1,fireborn-porcelain,1,1,4000,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,1,1,2000,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,1,1,1000,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,1,1,500,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,1,1,250,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,1,1,150,0.007,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,1,1,53,0.160,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,2,2,4000,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,2,2,2000,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,2,2,1000,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,2,2,500,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,2,2,250,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,2,2,150,0.017,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,2,2,53,0.171,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,3,3,4000,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,3,3,2000,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,3,3,1000,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,3,3,500,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,3,3,250,0,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,3,3,150,0.007,-
2021-03-06,oversizeAlims,1,fireborn-porcelain,3,3,53,0.124,-
