expt_mix_num,test_type,rep,tin_w_wet_sample,tin_w_OD_sample,tin_tare,comments
31,AL,1,12.839,11.919,7.127,NA
31,AL,2,12.766,11.91,7.285,NA
31,AL,3,14.639,13.536999999999999,7.232,NA
32,AL,1,12.507,11.874,7.097,NA
32,AL,2,12.34,11.738999999999999,7.097,NA
32,AL,3,11.816,11.275,7.056,NA
33,AL,1,14.939,14.207999999999998,7.214,NA
33,AL,2,14.875000000000002,14.184,7.204,NA
33,AL,3,14.164,13.540999999999999,7.166,NA
34,AL,1,12.868,12.374,7.157,NA
34,AL,2,13.965000000000002,13.384,7.246,NA
34,AL,3,12.324,11.899000000000001,7.179,NA
35,AL,1,10.847,10.587,7.182,NA
35,AL,2,8.871,8.745,7.151,NA
35,AL,3,8.216999999999999,8.149,7.211,NA
36,AL,1,NA,NA,7.299,"could not test, too loose"
36,AL,2,NA,NA,7.242,"could not test, too loose"
36,AL,3,NA,NA,7.053,"could not test, too loose"
