test_type,date,experiment_name,sample_name,batch_sample_number,replication,tin_number,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
AL,2021-02-09,Mancino_porcelain,mix_43,1,1,10,14.116,12.745,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_43,1,2,11,14.694,13.345,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_43,1,3,12,14.346,13.030,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_44,2,1,13,17.231,15.424,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_44,2,2,14,15.829,14.393,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_44,2,3,60,22.965,21.504,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_45,3,1,61,20.703,19.518,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_45,3,2,70,24.247,22.513,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_45,3,3,28,15.082,13.738,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_46,4,1,36,11.920,11.097,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_46,4,2,29,13.756,12.603,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_46,4,3,30,12.183,11.278,2020-05-24,watch the tin numbers!!
AL,2021-02-09,Mancino_porcelain,mix_47,5,1,31,13.532,12.250,2020-05-24,very dilatant. slumps as a near liquid but when agitated stiffens. not sure really if to call this sticky? won't stick to the nail but it is still a total mess
AL,2021-02-09,Mancino_porcelain,mix_47,5,2,32,12.488,11.431,2020-05-24,very dilatant. slumps as a near liquid but when agitated stiffens. not sure really if to call this sticky? won't stick to the nail but it is still a total mess
AL,2021-02-09,Mancino_porcelain,mix_47,5,3,33,12.055,11.089,2020-05-24,very dilatant. slumps as a near liquid but when agitated stiffens. not sure really if to call this sticky? won't stick to the nail but it is still a total mess
AL,2021-02-09,Mancino_porcelain,mix_48,6,1,34,16.226,14.418,2020-05-24,very dilatant. slumps as a near liquid but when agitated stiffens. not sure really if to call this sticky? won't stick to the nail but it is still a total mess
AL,2021-02-09,Mancino_porcelain,mix_48,6,2,35,16.225,14.442,2020-05-24,very dilatant. slumps as a near liquid but when agitated stiffens. not sure really if to call this sticky? won't stick to the nail but it is still a total mess
AL,2021-02-09,Mancino_porcelain,mix_48,6,3,46,14.757,13.267,2020-05-24,very dilatant. slumps as a near liquid but when agitated stiffens. not sure really if to call this sticky? won't stick to the nail but it is still a total mess
