date,experiment_name,sample_name,replication,batch_sample_number,protocol_ID,comments
2021-01-16,SelectingClaysJan2021,Bentonite 325M,1,1,1,-
2021-01-16,SelectingClaysJan2021,Bentonite Volclay 200M,1,2,1,-
2021-01-16,SelectingClaysJan2021,Kentucky Stone,1,3,1,-
2021-01-16,SelectingClaysJan2021,Kentucky KT1,1,4,1,-
2021-01-16,SelectingClaysJan2021,OM4,1,5,1,-
2021-01-16,SelectingClaysJan2021,#6 Tile,1,6,1,-
2021-01-16,SelectingClaysJan2021,EPK,1,7,1,-
2021-01-16,SelectingClaysJan2021,Sheffield,1,8,1,-
2021-01-16,SelectingClaysJan2021,Flint 200 Sil-co-sil 75,1,9,1,-
2021-01-16,SelectingClaysJan2021,Flint 325 Sil-co-sil 52,1,10,1,-
