date,experiment_name,protocol_ID,sample_name,replication,batch_sample_number,microns,cumulative_mass_g,comments
2021-01-16,SelectingClaysJan2021,1,Bentonite 325M,1,1,4000,0,-
2021-01-16,SelectingClaysJan2021,1,Bentonite 325M,1,1,2000,0,-
2021-01-16,SelectingClaysJan2021,1,Bentonite 325M,1,1,1000,0.002,-
2021-01-16,SelectingClaysJan2021,1,Bentonite 325M,1,1,500,0.004,-
2021-01-16,SelectingClaysJan2021,1,Bentonite 325M,1,1,250,0.067,-
2021-01-16,SelectingClaysJan2021,1,Bentonite 325M,1,1,150,0.112,-
2021-01-16,SelectingClaysJan2021,1,Bentonite 325M,1,1,53,0.163,-
2021-01-16,SelectingClaysJan2021,1,Bentonite Volclay 200M,1,2,4000,0,-
2021-01-16,SelectingClaysJan2021,1,Bentonite Volclay 200M,1,2,2000,0,-
2021-01-16,SelectingClaysJan2021,1,Bentonite Volclay 200M,1,2,1000,0,-
2021-01-16,SelectingClaysJan2021,1,Bentonite Volclay 200M,1,2,500,0,-
2021-01-16,SelectingClaysJan2021,1,Bentonite Volclay 200M,1,2,250,0,-
2021-01-16,SelectingClaysJan2021,1,Bentonite Volclay 200M,1,2,150,0.054,-
2021-01-16,SelectingClaysJan2021,1,Bentonite Volclay 200M,1,2,53,0.301,-
2021-01-16,SelectingClaysJan2021,1,Kentucky Stone,1,3,4000,0,-
2021-01-16,SelectingClaysJan2021,1,Kentucky Stone,1,3,2000,0,-
2021-01-16,SelectingClaysJan2021,1,Kentucky Stone,1,3,1000,0,-
2021-01-16,SelectingClaysJan2021,1,Kentucky Stone,1,3,500,0,-
2021-01-16,SelectingClaysJan2021,1,Kentucky Stone,1,3,250,0.006,-
2021-01-16,SelectingClaysJan2021,1,Kentucky Stone,1,3,150,0.009,-
2021-01-16,SelectingClaysJan2021,1,Kentucky Stone,1,3,53,0.133,-
2021-01-16,SelectingClaysJan2021,1,Kentucky KT1,1,4,4000,0,-
2021-01-16,SelectingClaysJan2021,1,Kentucky KT1,1,4,2000,0,-
2021-01-16,SelectingClaysJan2021,1,Kentucky KT1,1,4,1000,0,-
2021-01-16,SelectingClaysJan2021,1,Kentucky KT1,1,4,500,0,-
2021-01-16,SelectingClaysJan2021,1,Kentucky KT1,1,4,250,0.036,-
2021-01-16,SelectingClaysJan2021,1,Kentucky KT1,1,4,150,0.057,-
2021-01-16,SelectingClaysJan2021,1,Kentucky KT1,1,4,53,0.158,-
2021-01-16,SelectingClaysJan2021,1,OM4,1,5,4000,0,-
2021-01-16,SelectingClaysJan2021,1,OM4,1,5,2000,0,-
2021-01-16,SelectingClaysJan2021,1,OM4,1,5,1000,0,-
2021-01-16,SelectingClaysJan2021,1,OM4,1,5,500,0,-
2021-01-16,SelectingClaysJan2021,1,OM4,1,5,250,0.005,-
2021-01-16,SelectingClaysJan2021,1,OM4,1,5,150,0.006,-
2021-01-16,SelectingClaysJan2021,1,OM4,1,5,53,0.266,-
2021-01-16,SelectingClaysJan2021,1,#6 Tile,1,6,4000,0,-
2021-01-16,SelectingClaysJan2021,1,#6 Tile,1,6,2000,0,-
