test_type,date,experiment_name,sample_name,batch_sample_number,tin_number,blow_count,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_22,1,1,32,13.519,12.235,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_22,1,2,27,13.452,12.191,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_22,1,3,26,12.765,11.628,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_22,1,4,22,13.310,12.029,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_24,3,5,32,14.199,13.134,2020-05-24,tested out of order to let water equilibrate
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_24,3,6,29,16.539,15.117,2020-05-24,tested out of order to let water equilibrate
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_24,3,7,26,15.812,14.497,2020-05-24,tested out of order to let water equilibrate
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_24,3,8,23,15.614,14.259,2020-05-24,tested out of order to let water equilibrate
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_23,2,9,30,13.838,12.759,2020-05-24,tested out of order to let water equilibrate
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_23,2,10,24,13.979,12.871,2020-05-24,tested out of order to let water equilibrate
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_23,2,11,23,13.916,12.814,2020-05-24,tested out of order to let water equilibrate
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_23,2,12,18,17.780,15.978,2020-05-24,tested out of order to let water equilibrate
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_25,4,13,27,14.780,13.820,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_25,4,14,25,16.070,14.997,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_25,4,15,22,14.804,13.883,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_25,4,16,19,14.195,13.335,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_26,5,17,30,13.986,13.159,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_26,5,18,24,17.041,15.853,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_26,5,19,23,15.815,14.780,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_26,5,20,22,15.667,14.632,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_27,6,21,30,12.795,11.547,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_27,6,22,29,13.288,11.895,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_27,6,23,21,13.959,12.394,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_27,6,24,18,11.418,10.428,2020-05-24,-
LL,2021-01-23,Quickcrete_Cu_Casselman,mix_28,7,25,30,16.687,15.422,2020-05-24,"This is one of the most frustrating samples I have ever tested. It took over an hour to nudge the water content up, 6-8 drops at a time, to the point where it will flow properly. It seems that the mixes near the transitional fines content tend to be this way. I think it might be especially true for this one - though it feels relatively weak when stirring in the bowl, once you put it in the cup and jar it several times I think the percussion actually jars the particles into a more dense configuration. That would make sense for this once since the sand was deliberately chosen to be non-uniform. Also, the mixes near the TFC tend to not pack too well - I think you get a lot of air pockets inside them, leading to premature failure which can fool you as the operator. Then when you add enough water to actually weaken the clay enough that the air is easily squeezed out, you find that the blow count actually goes up. The clay still has enough toughness to prevent flow between 15-35 blows. Highly frustrating."
