test_type,date,experiment_name,sample_name,batch_sample_number,replication,tin_number,tin_w_wet_sample,tin_w_OD_sample,tin_tare_set,comments
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_34,1,1,16,14.015,13.128,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_34,1,2,17,15.460,14.375,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_34,1,3,18,14.145,13.235,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_35,2,1,19,12.959,12.332,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_35,2,2,20,11.989,11.488,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_35,2,3,21,14.432,13.658,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_36,3,1,22,14.141,13.065,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_36,3,2,23,12.876,12.008,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_36,3,3,24,14.006,12.939,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_37,4,1,25,12.734,12.029,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_37,4,2,26,12.861,12.157,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_37,4,3,27,11.063,10.603,2020-05-24,-
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_38,5,1,28,-,-,2020-05-24,cannot be rolled out
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_38,5,2,29,-,-,2020-05-24,cannot be rolled out
PL,2021-01-29,Quickcrete_Cu_Casselman,mix_38,5,3,30,-,-,2020-05-24,cannot be rolled out
