date,experiment_name,protocol_ID,sample_name,replication,batch_sample_number,microns,cumulative_mass_g,comments
2021-03-06,oversizeALims,1,Casselman_clay,1,1,4000,0,-
2021-03-06,oversizeALims,1,Casselman_clay,1,1,2000,0,-
2021-03-06,oversizeALims,1,Casselman_clay,1,1,1000,0.002,-
2021-03-06,oversizeALims,1,Casselman_clay,1,1,500,0.013,-
2021-03-06,oversizeALims,1,Casselman_clay,1,1,250,0.207,-
2021-03-06,oversizeALims,1,Casselman_clay,1,1,150,0.344,-
2021-03-06,oversizeALims,1,Casselman_clay,1,1,53,0.65,-
2021-03-06,oversizeALims,1,Casselman_clay,2,2,4000,0,-
2021-03-06,oversizeALims,1,Casselman_clay,2,2,2000,0,-
2021-03-06,oversizeALims,1,Casselman_clay,2,2,1000,0,-
2021-03-06,oversizeALims,1,Casselman_clay,2,2,500,0.014,-
2021-03-06,oversizeALims,1,Casselman_clay,2,2,250,0.264,-
2021-03-06,oversizeALims,1,Casselman_clay,2,2,150,0.448,-
2021-03-06,oversizeALims,1,Casselman_clay,2,2,53,0.961,-
2021-03-06,oversizeALims,1,Casselman_clay,3,3,4000,0,-
2021-03-06,oversizeALims,1,Casselman_clay,3,3,2000,0,-
2021-03-06,oversizeALims,1,Casselman_clay,3,3,1000,0.002,-
2021-03-06,oversizeALims,1,Casselman_clay,3,3,500,0.015,-
2021-03-06,oversizeALims,1,Casselman_clay,3,3,250,0.24,-
2021-03-06,oversizeALims,1,Casselman_clay,3,3,150,0.398,-
2021-03-06,oversizeALims,1,Casselman_clay,3,3,53,0.725,-
